NO,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声
1,东,冬,江,支,微,鱼,虞,齐,佳,灰,真,文,元,寒,删,先,萧,肴,豪,歌,麻,阳,庚,青,蒸,尤,侵,覃,盐,咸,董,肿,讲,纸,尾,语[语言],麌,荠,蟹,贿,轸,吻,阮,旱,潸,铣,筱,巧,皓,哿,马,养,梗,迥,有,寝,感,琰,豏,送,宋,绛,寘,未,御,遇,霁,泰,卦,队,震,问,愿,翰[寒韵同],谏,霰,啸,效,号[号令],个,祃,漾,敬,径,宥,沁,勘,艳,陷,屋,沃,觉[知觉],质,物,月,曷,黠,屑,药,陌,锡,职,缉,合,叶,洽
2,同,咚,缸,枝,薇,渔,愚,黎,街,恢,因,闻,原,韩,潸,前,箫,巢,劳,多,花,杨,更[更改],经,烝,邮,寻,潭,檐,函[书函],懂,种[种子],港,只,苇,圉,雨,礼,解,悔,敏,粉,远[远近],暖,眼,善[善恶],小,饱,宝,火,下[上下],痒,影,炯,酒,饮[饮食],览,俭,槛,凇,用,降[升降],置,味,处[处所],路,制,太,挂,内,信,闻[名誉],怨,瀚,雁,殿,笑,教[教训],帽,贺,驾,上[上下],命,定,候,深,暗,剑,鉴,木,俗,角,日,佛,骨,达,拔[拔擢],节,薄,石,壁,国,辑,塔,帖,狭
3,童,彤,窗,肢,晖,初,娱,犁,鞋,魁,茵,纹,源,翰[翰韵同],关,千,挑,交,毫,罗,霞,扬,羹,泾,承,优,浔,参[参考],廉,缄,动,踵,棒,咫,鬼,圄,宇,体,洒,罪,允,蕴,晚,管,简,遣[遣送],表,卯,藻,舸,者,象,景,茗,首,锦,揽,焰,范,梦,颂,巷,事,气,去,辂,计,带,画[图画],辈,印,运,万,岸,患,面,照,貌,报,佐,夜,望[阳韵同],正[正直],听,就,饮[使饮],滥,念,泛,竹,玉,桷,笔,拂,发,末,八,雪,恶[善恶],客,历,德,戢,答,贴,峡
4,僮,农,邦,移[竹移],辉,书,隅,梨,牌,隈,辛,蚊,沅,丹,弯,阡,貂,郊,操[操持],河,家,香,盲,形,丞,忧,临,骖,帘,岩,孔,宠,蚌,是,岂,吕,舞,米,楷[佳韵同],馁,引,愤,苑,琯,版,浅,鸟,狡,早,亸,野,像,井,挺,口,品,胆,敛[艳韵同],减,凤,诵,撞[江韵同],地,贵,虑,赂,势,外,懈,佩,进,晕,饭[名词],汉,涧,县,庙,校,导,大[泰韵同],下[降也],相[卿相],令[命令],胜[胜败],售[尤韵同],禁[禁令],啖,验,梵,目,足,榷,出,屈,阙,阔,察,绝,作,白,枥,食[饮食],立,纳,牒,法
5,铜,侬,降[降伏],为[施为],徽,舒,无,妻[夫妻],柴,回,新,云,鼋,单,湾,笺,刁,茅,髦,戈,茶,乡,横[纵横],陉,惩,流,林,南,嫌,谗,总,垅[陇],项,靡,卉,侣,府,启,拐,每,尹,隐,返,满,板,典,"了[未了,了得]",爪,枣,舵,雅,橡,岭,艇,母[麌韵同],枕[枕衾],"澹[淡,勘韵同]",险,舰,洞,统,戆,意,费,誉[名词],露,世,盖,廨,退,润,韵,献,难[灾难],间[间隔],变,窍,孝,操[操行],饿,谢,将[将,证,罄,寿[有韵同],任[信任],担,堑,忏,服,曲,岳,室,"郁[馥郁,郁郁乎文哉]",越,钵,杀,列,乐[哀乐],泽,击,蚀,集,榻,接,甲
6,桐,宗,双,垂,挥,居,芜,萋,钗,徊,薪,分[分离],园,安,还,天,凋,嘲,绦,阿,华,光,觥,亭,澄,旒,霖,楠,严,衔,笼[东韵同],拥,耩,彼,几[几多],旅,鼓,陛,矮,块,尽,谨,反,短,阪,转[霰韵同],晓,鲍,老,我,瓦,仰,领,梃,妇[麌韵同],审,啖,检,犯,众,纵[放纵],0,志,沸,署,鹭,丽,大[个韵同],邂,碎,阵,训,健,断[决断],宦,箭,妙,闹,盗,"过[歌韵同.又过失,独用]",榭,帅],性,磬,秀,荫,憾,赡,赚,福,粟,乐[音乐],实,乞,谒,脱,刹,烈,落,伯,绩,色,邑,閤,猎,业
7,峒,淙,泷,吹,韦,裾,巫,凄,差[差使],槐[佳韵同],晨,氛,袁,鞍,环,坚,雕,钞,刀,和[和平],沙,昌,彭,庭,陵,留,针,男,占[占卜],帆,拢,冗,0,毁,伟,杼,虎,洗,摆,汇,忍,近,饭[动词],馆[翰韵同],盏,衍,少[多少],挠[豪韵同],好[好丑],拖,寡,朗,境,醒[青韵同],後,甚[沁韵同],坎,脸,湛,瓮,讼,0,思[名词],尉,据,树[树木],岁,濑,隘,背,镇,粪,建,乱,晏,战,诏,豹,噪,座,罢,状,政,应[答应],绣,浸,暂,店,蘸,禄,烛,捉,疾,掘[月韵同],没,夺,轧,结,阁,迹,绩,力,急,杂,妾,邺
8,筒,锺,庞,陂,围,琚,于,堤,崖,梅,辰,纷,猿,难[艰难],鬟,肩,迢,包,萄,波,车[鱼韵同],堂,亨,廷,凌,骝,箴,谙,髯,衫,桶,重[轻重],0,委,斐,伫,古,邸,买,猥,准,忿,偃,缓,产,犬,扰,搅,道,娜,社,桨,警,酩,柳,廪,惨,染,巉[咸韵同],贡,种[种植],0,泪,畏,驭,度[制度],济[渡也],赖,卖,秽,刃,忿[吻韵同],宪,叹[寒韵同],慢,扇,召,罩,灶,和[唱和],夏[春夏],帐,镜,赠,宿[星宿],谮,三[再三],占[占据],嵌,谷,属,朔,术,吃[口吃],伐,褐,戛,穴,鹤,宅,笛,翼,入,腊,蝶,匣
9,瞳,钟,撞,碑,帏,车[麻韵同],衢,低,涯[支麻韵同],枚,臣,芬,垣,餐,寰,贤,条,胶,猱,科,牙,章,丁,霆,绫,榴,斟,庵,谦,杉,捅,冢,0,诡,菲[菲薄],与[给予],股,底,骇,璀,隼,抆,蹇,盥[翰韵同],限,选,绕,绞,稻,荷[负荷],写,奖,请,酊,友,衽,敢,掩,斩,弄,综,0,吏,慰,曙,渡,第,籁,派,对,顺,酝,劝,观[楼观],盼,煽,邵,棹,奥,挫,霸,唱,盛[茂盛],乘[名词],奏,谶,绀,敛[聚,站,熟,录,数[频数],一,讫,罚,割,瞎,说,爵,席,敌,墨,泣,匝,叠,压
10,中[中间],龙,豇,奇,违,渠,癯,题,偕,玫,人,焚,烦,檀,班,弦,髫,苞,褒,柯,蛇,张,英,蜓,菱,刘,沈,含,奁,监[监察],蓊,捧,0,髓,匪,予[赐予],贾[商贾],抵,0,磊,笋,刎,琬,碗,绾,冕,绍,拗,造[造作],可,泻,蒋,饼,"并[并行,并且]",斗,稔,颔[覃韵同],点,黯,冻,俸,0,赐,蔚,助,赋,艺,蔡,债,废,慎,郡,蔓,"干[树干,干练]",篆,膳,要[重要],觉[寤也],告[告诉],课,暇,让,行[学行],佞,兽,枕[动词],憨,敛],馅,肉,辱,卓,乙,绂,卒[士卒],沫,刮,血,弱,策,滴,极,湿,阖,箧,鸭
